Number,MD Extractor Field Ascending,DNX Property
1,ewfobjects.creator.build_environment.compilation_date,ewf.compilation_date
2,ewfobjects.creator.build_environment.compiler,ewf.complier
3,ewfobjects.creator.build_environment.library,ewf.library
4,ewfobjects.creator.program,ewf.program
5,ewfobjects.creator.version,ewf.version
6,ewfobjects.ewfinfo.acquiry_information.acquisition_date,ewf.acquisition_date
7,ewfobjects.ewfinfo.acquiry_information.acquisition_system,ewf.acquisition_system
8,ewfobjects.ewfinfo.acquiry_information.acquisition_version,ewf.acquisition_version
9,ewfobjects.ewfinfo.acquiry_information.case_number,ewf.case_number
10,ewfobjects.ewfinfo.acquiry_information.description,ewf.description
11,ewfobjects.ewfinfo.acquiry_information.evidence_number,ewf.evidence_number
12,ewfobjects.ewfinfo.acquiry_information.examiner_name,ewf.examiner_name
13,ewfobjects.ewfinfo.acquiry_information.model,ewf.model
14,ewfobjects.ewfinfo.acquiry_information.notes,ewf.notes
15,ewfobjects.ewfinfo.acquiry_information.serial_number,ewf.serial_number
16,ewfobjects.ewfinfo.acquiry_information.system_date,ewf.system_date
17,ewfobjects.ewfinfo.acquisition_read_errors.count,ewf.acquisition_read_errors
18,ewfobjects.ewfinfo.ewf_information.compression_level,ewf.compression_level
19,ewfobjects.ewfinfo.ewf_information.compression_method,ewf.compression_method
20,ewfobjects.ewfinfo.ewf_information.error_granularity,ewf.error_granularity
21,ewfobjects.ewfinfo.ewf_information.file_format,ewf.file_format
22,ewfobjects.ewfinfo.ewf_information.is_corrupted,ewf.is_corrupted
23,ewfobjects.ewfinfo.ewf_information.sectors_per_chunk,ewf.sectors_per_chunk
24,ewfobjects.ewfinfo.ewf_information.set_identifier,ewf.set_identifier
25,ewfobjects.ewfinfo.hashdigest.md5,ewf.md5
26,ewfobjects.ewfinfo.hashdigest.sha1,ewf.sha1
27,ewfobjects.ewfinfo.image_filenames.image_filename,ewf.image_filename
28,ewfobjects.ewfinfo.media_information.bytes_per_sector,ewf.bytes_per_sector
29,ewfobjects.ewfinfo.media_information.is_physical,ewf.is_physical
30,ewfobjects.ewfinfo.media_information.media_size,ewf.media_size
31,ewfobjects.ewfinfo.media_information.media_type,ewf.media_type
32,ewfobjects.ewfinfo.media_information.number_of_sectors,ewf.number_of_sectors
33,ewfobjects.ewfinfo.sessions.count,ewf.sessions
