Number,MD Extractor Field Ascending,DNX Property
1,RTF:Author,ms.author
2,RTF:BackupTime,ms.backupTime
3,RTF:Category,ms.category
4,RTF:Characters,text.charactersCount
5,RTF:CharactersWithSpaces,ms.charactersWithSpaces
6,RTF:Comment,ms.comment
7,RTF:Comments,ms.comments
8,RTF:Company,ms.company
9,RTF:Copyright,ms.copyright
10,RTF:CreateDate,ms.creationDate
11,RTF:HyperlinkBase,ms.hyperlinkBase
12,RTF:InternalIDNumber,ms.id
13,RTF:InternalVersionNumber,ms.productVersion
14,RTF:Keywords,ms.keywords
15,RTF:Language,ms.language
16,RTF:LastModifiedBy,ms.lastModifiedBy
17,RTF:LastPrinted,ms.printed
18,RTF:Manager,ms.manager
19,RTF:ModifyDate,ms.modifiedDate
20,RTF:Pages,object.numberOfPages
21,RTF:RevisionNumber,ms.revisionCount
22,RTF:Subject,ms.subject
23,RTF:Title,ms.title
24,RTF:TotalEditTime,ms.editTime
25,RTF:Words,text.wordCount
26,XML:Application,ms.creatingApplicationName
27,XML:AppVersion,ms.productVersion
28,XML:Category,ms.category
29,XML:Characters,text.charactersCount
30,XML:CharactersWithSpaces,ms.charactersWithSpaces
31,XML:Company,ms.company
32,XML:CreateDate,ms.creationDate
33,XML:DocSecurity,ms.security
34,XML:HeadingPairs,ms.headingPairs
35,XML:HiddenSlides,ms.hiddenSlides
36,XML:HyperlinksChanged,ms.hyperlinksChanged
37,XML:Keywords,ms.keywords
38,XML:Language,ms.language
39,XML:LastModifiedBy,ms.lastModifiedBy
40,XML:LastPrinted,ms.printed
41,XML:Lines,ms.lines
42,XML:LinksUpToDate,ms.linksUpToDate
43,XML:Manager,ms.manager
44,XML:MMClips,ms.mmClips
45,XML:ModifyDate,ms.modifiedDate
46,XML:Notes,ms.comments
47,XML:Pages,object.numberOfPages
48,XML:Paragraphs,ms.paragraphs
49,XML:PresentationFormat,ms.presentationFormat
50,XML:RevisionNumber,ms.revisionCount
51,XML:ScaleCrop,ms.scaleCrop
52,XML:SharedDoc,ms.sharedDoc
53,XML:Slides,ms.slides
54,XML:Template,ms.template
55,XML:TitlesOfParts,ms.titleOfParts
56,XML:TotalEditTime,ms.editTime
57,XML:Words,text.wordCount
58,XMP-dc:Creator,ms.author
59,XMP-dc:Description,object.description
60,XMP-dc:Subject,ms.subject
61,XMP-dc:Title,ms.title
