Number,MD Extractor Field Ascending,DNX Property
1,ExifTool:Warning,exiftool.warning
2,ICC_Profile:ProfileDescription,nisoImage.profileName
3,PDF:Author,object.author
4,PDF:ContainerVersion,pdf.container_version
5,PDF:CreateDate,pdf.creationDate
6,PDF:Creator,pdf.originalFormatCreatingApplication
7,PDF:CreatorVersion,pdf.creator_version
8,PDF:Encryption,pdf.encryption.algorithm
9,PDF:GTS_PDFXVersion,pdf.pdfXversion
10,PDF:HasXFA,pdf.hasXFA
11,PDF:Keywords,pdf.keywords
12,PDF:Language,object.language
13,PDF:Linearized,pdf.linearized
14,PDF:ModifyDate,pdf.modifiedDate
15,PDF:PageCount,object.pageCount
16,PDF:PageLayout,pdf.documentcatalogPagelayout
17,PDF:PageMode,pdf.documentcatalogPagemode
18,PDF:PDFVersion,pdf.version
19,PDF:Producer,object.creatingApplication
20,PDF:TaggedPDF,pdf.tagged
21,PDF:Title,object.title
22,PDF:Trapped,pdf.trapped
23,PDF:UserAccess,pdf.standardSecurityHandlerUserAccess
24,PostScript:AIColorModel,ps.AI_color_model
25,PostScript:AICreatorVersion,ps.AI_creator_version
26,PostScript:AINumLayers,ps.AI_num_layers
27,PostScript:For,ps.for
28,PostScript:Title,ps.title
29,XMP-dc:Creator,object.creator
30,XMP-dc:Description,object.description
31,XMP-dc:Rights,object.copyright
32,XMP-dc:Subject,pdf.subject
33,XMP-dc:Title,xmp.dc.title
34,XMP-pdf:Copyright,xmp.pdf.copyright
35,XMP-pdf:Keywords,xmp.pdf.keywords
36,XMP-pdf:Producer,xmp.pdf.creating_application
37,XMP-pdf:Trapped,xmp.pdf.trapped
38,XMP-pdfaid:Conformance,xmp.pdfaid.conformance
39,XMP-pdfaid:Part,xmp.pdfaid.part
40,XMP-pdfaid:Rev,xmp.pdfaid.rev
41,XMP-pdfxid:GTS_PDFXVersion,xmp.pdfxid.pdfXversion
42,XMP-xmp:CreateDate,xmp.xmp.creation_date
43,XMP-xmp:CreatorTool,xmp.xmp.creator_tool
44,XMP-xmp:ModifyDate,xmp.xmp.modified_date
45,XMP-xmpMM:HistoryParameters,xmp.xmpMM.history_parameters
46,XMP-xmpRights:Marked,xmp.xmpRights.cr_marked
47,XMP-xmpRights:WebStatement,xmp.xmpRights.cr_statement
48,XMP-xmpTPg:HasVisibleTransparency,xmp.xmpTPg.has_transparency
