Number,MD Extractor Field Ascending,DNX Property
1,mediainfo.track.Audio.BitDepth,audio.bit_depth
2,mediainfo.track.Audio.BitRate,audio.bit_rate
3,mediainfo.track.Audio.BitRate_Mode,audio.bit_rate_mode
4,mediainfo.track.Audio.ChannelLayout,audio.channel_layout
5,mediainfo.track.Audio.Channels,audio.channel_s_
6,mediainfo.track.Audio.CodecID,audio.codec_ID
7,mediainfo.track.Audio.Compression_Mode,audio.compression_mode
8,mediainfo.track.Audio.Duration,audio.duration
9,mediainfo.track.Audio.Encoded_Date,audio.encoded_date
10,mediainfo.track.Audio.Encoded_Library,audio.encoded_library
11,mediainfo.track.Audio.Encoded_Library_Date,audio.encoded_library_date
12,mediainfo.track.Audio.Encoded_Library_Name,audio.encoded_library_name
13,mediainfo.track.Audio.Encoded_Library_Version,audio.encoded_library_version
14,mediainfo.track.Audio.Format,audio.format
15,mediainfo.track.Audio.Format_Profile,audio.format_profile
16,mediainfo.track.Audio.Format_Settings_Endianness,audio.format_settings_endianness
17,mediainfo.track.Audio.Format_Settings_Sign,audio.format_settings_sign
18,mediainfo.track.Audio.Format_Settings_Wrapping,audio.format_Settings_Wrapping
19,mediainfo.track.Audio.Format_Version,audio.format_version
20,mediainfo.track.Audio.FrameRate,audio.frame_rate
21,mediainfo.track.Audio.ID,audio.ID
22,mediainfo.track.Audio.SamplesPerFrame,audio.samples_per_frame
23,mediainfo.track.Audio.SamplingCount,audio.totalSamples
24,mediainfo.track.Audio.SamplingRate,audio.sampling_rate
25,mediainfo.track.Audio.StreamSize,audio.stream_size
26,mediainfo.track.Audio.Tagged_Date,audio.tagged_date
27,mediainfo.track.Audio.Title,audio.title
28,mediainfo.track.General.AudioCount,general.audio_count
29,mediainfo.track.General.CodecID,general.codec_ID
30,mediainfo.track.General.CodecID_Compatible,general.codec_ID_compatible
31,mediainfo.track.General.Comment,general.comment
32,mediainfo.track.General.CompleteName,general.complete_name
33,mediainfo.track.General.Copyright,general.copyright
34,mediainfo.track.General.Cover,general.cover
35,mediainfo.track.General.Cover_Description,general.cover_description
36,mediainfo.track.General.Cover_Mime,general.cover_mime
37,mediainfo.track.General.Cover_Type,general.cover_type
38,mediainfo.track.General.Description,general.description
39,mediainfo.track.General.Duration,general.duration
40,mediainfo.track.General.EncodedBy,general.encoded_by
41,mediainfo.track.General.Encoded_Application,general.writing_application
42,mediainfo.track.General.Encoded_Application_CompanyName,general.encoded_application_company_name
43,mediainfo.track.General.Encoded_Application_Name,general.encoded_application_name
44,mediainfo.track.General.Encoded_Application_Version,general.encoded_application_version
45,mediainfo.track.General.Encoded_Date,general.encoded_date
46,mediainfo.track.General.Encoded_Library,general.writing_library
47,mediainfo.track.General.Encoded_Library_Name,general.encoded_library_name
48,mediainfo.track.General.Encoded_Library_Settings,general.encoded_library_settings
49,mediainfo.track.General.Encoded_Library_Version,general.encoded_library_version
50,mediainfo.track.General.extra.bext_Present,general.extra.bext_present
51,mediainfo.track.General.extra.CDTOC,general.extra.cdtoc
52,mediainfo.track.General.extra.coding_history,general.extra.coding_history
53,mediainfo.track.General.extra.CTDBDISCCONFIDENCE,general.extra.ctdbdisconfidence
54,mediainfo.track.General.extra.CUESHEET,general.extra.cuesheet
55,mediainfo.track.General.extra.Engineer,general.extra.engineer
56,mediainfo.track.General.extra.FileExtension_Invalid,general.extra.fileextension_invalid
57,mediainfo.track.General.extra.IsTruncated,general.extra.is_truncated
58,mediainfo.track.General.extra.LOG,general.extra.log
59,mediainfo.track.General.extra.MEDIA,general.extra.media
60,mediainfo.track.General.extra.originator_reference,general.extra.originator_reference
61,mediainfo.track.General.extra.ownr,general.extra.ownr
62,mediainfo.track.General.extra.Producer_Reference,general.extra.producer_reference
63,mediainfo.track.General.extra.PurchaseDate,general.extra.purchase_date
64,mediainfo.track.General.extra.Vendor,general.extra.vendor
65,mediainfo.track.General.FileSize,general.file_size
66,mediainfo.track.General.File_Modified_Date,general.file_modified_date
67,mediainfo.track.General.File_Modified_Date_Local,general.file_modified_date_local
68,mediainfo.track.General.Format,general.format
69,mediainfo.track.General.Format_Commercial_IfAny,general.format_commerical_ifany
70,mediainfo.track.General.Format_Profile,general.format_profile
71,mediainfo.track.General.Format_Settings,general.format_settings
72,mediainfo.track.General.Format_Version,general.format_version
73,mediainfo.track.General.IsStreamable,general.is_streamable
74,mediainfo.track.General.MenuCount,general.menu_count
75,mediainfo.track.General.OverallBitRate,general.overall_bit_rate
76,mediainfo.track.General.OverallBitRate_Mode,general.overall_bit_rate_mode
77,mediainfo.track.General.Part,general.part
78,mediainfo.track.General.Part_Position,general.part_position
79,mediainfo.track.General.Part_Position_Total,general.part_position_total
80,mediainfo.track.General.Producer,general.producer
81,mediainfo.track.General.Recorded_Date,general.recorded_date
82,mediainfo.track.General.StreamSize,general.stream_size
83,mediainfo.track.General.Title,general.title
84,mediainfo.track.General.Track,general.track
85,mediainfo.track.General.Track_Position_Total,general.track_position_total
