Number,MD Extractor Field Ascending,DNX Property
1,mediainfo.track.Audio.BitDepth,audio.bit_depth
2,mediainfo.track.Audio.BitRate,audio.bit_rate
3,mediainfo.track.Audio.BitRate_Mode,audio.bit_rate_mode
4,mediainfo.track.Audio.Channels,audio.channel_s_
5,mediainfo.track.Audio.CodecID,audio.codec_ID
6,mediainfo.track.Audio.Commercial_Name,audio.commercial_name
7,mediainfo.track.Audio.Compression_Mode,audio.compression_mode
8,mediainfo.track.Audio.Default,audio.default
9,mediainfo.track.Audio.Duration,audio.duration
10,mediainfo.track.Audio.encoded_library,audio.encoded_library
11,mediainfo.track.Audio.Forced,audio.forced
12,mediainfo.track.Audio.Format,audio.format
13,mediainfo.track.Audio.Format_Profile,audio.format_profile
14,mediainfo.track.Audio.Format_Settings_Sign,audio.format_settings_sign
15,mediainfo.track.Audio.Format_Settings_Wrapping,audio.format_Settings_Wrapping
16,mediainfo.track.Audio.Format_Version,audio.format_version
17,mediainfo.track.Audio.FrameRate,audio.frame_rate
18,mediainfo.track.Audio.ID,audio.ID
19,mediainfo.track.Audio.SamplingRate,audio.sampling_rate
20,mediainfo.track.Audio.ServiceKind,audio.service_kind
21,mediainfo.track.Audio.StreamSize,audio.stream_size
22,mediainfo.track.Audio.Title,audio.title
23,mediainfo.track.General.AudioCount,general.audio_count
24,mediainfo.track.General.CodecID,general.codec_ID
25,mediainfo.track.General.CompleteName,general.complete_name
26,mediainfo.track.General.Description,general.description
27,mediainfo.track.General.Duration,general.duration
28,mediainfo.track.General.Encoded_Application,general.writing_application
29,mediainfo.track.General.Encoded_Application_CompanyName,general.encoded_application_company_name
30,mediainfo.track.General.Encoded_Application_Name,general.encoded_application_name
31,mediainfo.track.General.Encoded_Application_Version,general.encoded_application_version
32,mediainfo.track.General.Encoded_Date,general.encoded_date
33,mediainfo.track.General.Encoded_Library,general.writing_library
34,mediainfo.track.General.Encoded_Library_Name,general.encoded_library_name
35,mediainfo.track.General.Encoded_Library_Version,general.encoded_library_version
36,mediainfo.track.General.extra.Attachments,general.extra.attachments
37,mediainfo.track.General.extra.bext_Present,general.extra.bext_present
38,mediainfo.track.General.extra.ErrorDetectionType,general.extra.error_detection_type
39,mediainfo.track.General.extra.IsTruncated,general.extra.is_truncated
40,mediainfo.track.General.FileSize,general.file_size
41,mediainfo.track.General.Format,general.format
42,mediainfo.track.General.Format_Profile,general.format_profile
43,mediainfo.track.General.Format_Settings,general.format_settings
44,mediainfo.track.General.Format_Version,general.format_version
45,mediainfo.track.General.IsStreamable,general.is_streamable
46,mediainfo.track.General.MenuCount,general.menu_count
47,mediainfo.track.General.OtherCount,general.other_count
48,mediainfo.track.General.OverallBitRate,general.overall_bit_rate
49,mediainfo.track.General.OverallBitRateMode,general.overall_bit_rate_mode
50,mediainfo.track.General.PackageName,general.package_name
51,mediainfo.track.General.Producer,general.producer
52,mediainfo.track.General.Recorded_Date,general.recorded_date
53,mediainfo.track.General.StreamSize,general.stream_size
54,mediainfo.track.General.TextCount,general.text_count
55,mediainfo.track.General.Title,general.title
56,mediainfo.track.General.UniqueID,general.unique_id
57,mediainfo.track.General.VideoCount,general.video_count
58,mediainfo.track.Image.BitDepth,image.bit_depth
59,mediainfo.track.Image.ColorSpace,image.color_space
60,mediainfo.track.Image.colour_primaries,image.color_primaries
61,mediainfo.track.Image.Compression_Mode,image.compression_mode
62,mediainfo.track.Image.DisplayAspectRatio,image.display_aspect_ratio
63,mediainfo.track.Image.Encoded_Date,image.encoded_date
64,mediainfo.track.Image.Encoded_Library,image.writing_library
65,mediainfo.track.Image.Format,image.format
66,mediainfo.track.Image.Format_Version,image.format_version
67,mediainfo.track.Image.FrameRate,image.frame_rate
68,mediainfo.track.Image.Height,image.height
69,mediainfo.track.Image.StreamSize,image.stream_size
70,mediainfo.track.Image.transfer_characteristics,image.transfer_characteristics
71,mediainfo.track.Image.Width,image.width
72,mediainfo.track.Video.BitDepth,video.bit_depth
73,mediainfo.track.Video.BitRate,video.bit_rate
74,mediainfo.track.Video.BitRate_Mode,video.bit_rate_mode
75,mediainfo.track.Video.ChromaSubsampling,video.chroma_subsampling
76,mediainfo.track.Video.CodecID,video.codec_ID
77,mediainfo.track.Video.ColorSpace,video.color_space
78,mediainfo.track.Video.Compression_Mode,video.compression_mode
79,mediainfo.track.Video.Default,video.default
80,mediainfo.track.Video.DisplayAspectRatio,video.display_aspect_ratio
81,mediainfo.track.Video.Duration,video.duration
82,mediainfo.track.Video.Encoded_Library,video.encoded_library
83,mediainfo.track.Video.extra.coder_type,video.extra.coder_type
84,mediainfo.track.Video.extra.ErrorDetectionType,video.extra.error_detection_type
85,mediainfo.track.Video.extra.MaxSlicesCount,video.extra.max_slices_count
86,mediainfo.track.Video.extra.OriginalSourceMedium,video.extra.original_source_medium
87,mediainfo.track.Video.Forced,video.forced
88,mediainfo.track.Video.Format,video.format
89,mediainfo.track.Video.Format_Profile,video.format_profile
90,mediainfo.track.Video.Format_Settings_GOP,video.format_settings_GOP
91,mediainfo.track.Video.Format_Settings_Wrapping,video.format_Settings_Wrapping
92,mediainfo.track.Video.Format_Version,video.format_version
93,mediainfo.track.Video.FrameCount,video.frame_count
94,mediainfo.track.Video.FrameRate,video.frame_rate
95,mediainfo.track.Video.Height,video.height
96,mediainfo.track.Video.ID,video.ID
97,mediainfo.track.Video.PixelAspectRatio,video.pixel_aspect_ratio
98,mediainfo.track.Video.PixelAspectRatioOriginal,video.pixel_aspect_ratio_original
99,mediainfo.track.Video.ScanOrder,video.scan_order
100,mediainfo.track.Video.ScanType,video.scan_type
101,mediainfo.track.Video.Standard,video.standard
102,mediainfo.track.Video.StreamSize,video.stream_size
103,mediainfo.track.Video.TimeCode_FirstFrame,video.time_code_of_first_frame
104,mediainfo.track.Video.TimeCode_Source,video.time_code_source
105,mediainfo.track.Video.Title,video.title
106,mediainfo.track.Video.transfer_characteristics,video.transfer_characteristics
107,mediainfo.track.Video.Width,video.width
